name,lat,lng,likes,ratings,photos
Cabo Cantina,33.9793575,-118.4658435,118,6.4,487
Mercedes Bar & Grille,33.979211,-118.4661716,64,7.7,180
Tocaya Organica,33.9866538,-118.4716232,260,9.4,131
El Milagro Bakery,34.2770025,-118.3989211,8,7.4,12
Mariscos Tijuana,33.8952854,-118.3435695,1,,0
La Revolucion Restaurant,33.8951192,-118.3434325,1,,2
El Jalapeño Taqueria,33.8989765,-118.3438512,0,,0
Pancho's Restaurant,33.9007218,-118.417915,95,7.9,198
El Tarasco Mexican Food,33.9010174,-118.4172856,35,7.2,83
Pepe's Tacos,33.9916885,-118.4211872,55,8.5,44
El Indio Mexicano Restaurant,34.2214029,-118.5036438,12,6.5,40
Chipotle Mexican Grill,34.223529,-118.5018605,1,7.4,13
Taco Bell,33.8107701,-118.2908259,12,6.4,13
El Big Burrito Taqueria,34.2123861,-118.5981353,10,8.2,8
Aqui es Texcoco,33.9846923,-118.1618668,17,6.7,16
Carnitas Michoacanas,33.9779187,-118.1627581,0,,0
King Taco # 24,33.9178871,-118.2091211,45,7.4,51
El Infierno Taqueria,33.9171863,-118.2090299,0,,0
BALAM Mexican Kitchen,33.9221404,-118.2095096,5,,6
Poquito Mas,34.1581437,-118.4932278,39,8.1,33
Chipotle Mexican Grill,34.0233268,-118.3944221,50,6.7,74
Salsa Verdes,33.7749314,-118.4175464,0,,0
La Bahia,34.2226158,-118.605371,1,,5
El Pollo Loco,34.219414,-118.6064035,15,6.0,19
Taqueria El Jaliciense,34.2207627,-118.6051802,0,,2
TacosWay,34.2190353,-118.6006329,13,7.3,18
Carnes Asadas Pancho Lopez,34.0837867,-118.2131194,0,,4
Burnt Tortilla,33.8913468,-118.3015701,51,8.2,65
El Pollo Loco,33.8159909,-118.3053035,13,7.0,7
La Gordita Restaurant,33.8128209,-118.2986935,1,,2
El Pollo Loco,33.989675,-118.2914988,12,7.0,3
Taco Bell,33.9894636,-118.291794,4,5.7,7
Chipotle Mexican Grill,33.8350031,-118.3527977,49,7.2,88
Chipotle Mexican Grill,33.8305539,-118.3495695,7,7.5,22
Picka Rico,34.1864463,-118.4447059,5,,0
Mariscos Los Arcos,34.1864578,-118.4392303,4,7.1,7
Gordos Tacos,34.1863705,-118.4460433,0,,1
El Torito,33.926315,-118.3538195,28,6.4,44
El Pollo Loco,33.9311807,-118.3530205,13,6.1,11
Chavelita place,33.9307277,-118.3534543,1,,0
Marielas Taco,34.0799692,-118.2689551,8,6.6,20
El Pollo Loco,34.2599003,-118.3045956,5,6.9,6
Taco Bell,34.2593042,-118.3046642,7,5.8,21
Sam's Tacos,34.0352094,-118.2153727,0,,3
El Borrego De Oro Restaurant,34.0345986,-118.2152098,1,,1
El Pollo Loco,34.0272471,-118.2192878,4,6.6,6
La Catrina Cafe,34.0345706,-118.2165996,0,,1
Chipotle Mexican Grill,34.2035789,-118.1977886,48,7.0,41
Los Gringos Locos,34.201279,-118.1926814,58,7.2,103
El Pollo Loco,33.8839608,-118.3956077,23,6.4,16
Brother's Burritos,33.8760005,-118.4060857,5,,3
Taco Bell,33.9143925,-118.1691569,1,6.1,5
Zavala Restaurant Y Taqueria,33.9139257,-118.1691797,7,6.9,9
