,0,1,2
528,Wingstop,33.9455454,-118.333429
529,The Habit Burger Grill,33.9458768,-118.3289967
530,Royal Buffet,33.944379,-118.328979
531,Wendy's,33.9450542,-118.3330001
532,Del Taco,33.9450204,-118.333388
533,Pollo Campero,33.9451957,-118.3347572
534,Carl's Jr.,33.9451316,-118.3287743
535,Ross Dress for Less,33.94406660000001,-118.3316731
536,Redbox,33.9442333,-118.3281129
537,Sushi KATSU-YA Northridge,34.2464432,-118.5370186
538,Burger King,33.8394241,-118.2856877
539,Messob Ethiopian Restaurant,34.0569875,-118.3645534
540,Subway Restaurants,34.062897,-118.3648826
541,McDonald's,34.0639341,-118.3667645
542,Shakey's Pizza Parlor,34.0578279,-118.3631418
543,Carl's Jr.,34.05797829999999,-118.3642149
544,Caffe Latte,34.06294920000001,-118.3653093
545,Tawanna,34.062874,-118.3648503
546,Boss Sushi,34.0632354,-118.3758166
547,Meals By Genet,34.056724,-118.3647521
548,Rahel Ethiopian Vegan Cuisine,34.0568525,-118.3646369
549,Awash,34.0521355,-118.3706478
550,Cheo's Tacos,34.0779601,-118.1675115
551,7-Eleven,34.0904708,-118.1641236
552,Big Saver Foods,34.08899299999999,-118.169911
553,La Cevicheria,34.0476451,-118.3228051
554,Pasta Sisters,34.047547,-118.317255
555,Expresion Oaxaquena Restaurante,34.0471806,-118.3157605
556,Little Shop of Mary,33.8366359,-118.3216749
557,Nick's Cafe,34.0660421,-118.2331432
558,The Original Carnitas Michoacan,34.0724074,-118.2212069
559,Maya's Restaurant,34.0720641,-118.2209784
560,Majordomo,34.0690839,-118.2261559
561,Le Pain Quotidien,34.0644108,-118.4693784
562,Katsuya Brentwood,34.0536132,-118.4684669
563,Lemonade,34.0642658,-118.4690221
564,The Brentwood Restaurant and Lounge,34.0647492,-118.4689372
565,Vincenti Ristorante,34.052285,-118.4712044
